split,n_clean_images,mean,std,p50,p75,p90,p95,p99,detector_threshold,clean_fpr_at_detector_threshold,margin_threshold,clean_fpr_at_margin_threshold,threshold_required_for_10pct_fpr,threshold_required_for_7_5pct_fpr
validation,1120,0.0616740919649601,0.1728641539812088,8.723467908566818e-05,0.012723803287371993,0.18899687379598631,0.3996366634964942,0.953002015352249,0.15071886777877808,0.10982142857142857,0.20058344304561615,0.09642857142857143,0.19430409371852875,0.25231626629829407
test,1600,0.08981207013130188,0.21649055182933807,0.00013462701463140547,0.027569760102778673,0.3513778060674671,0.6867570012807842,0.9787999391555786,0.15071886777877808,0.154375,0.20058344304561615,0.1425,0.35397061705589294,0.4804476201534271
